year,iso3_o,iso3_d,iso_o,iso_d,flow,gdp_o,gdp_d,pop_o,pop_d,distw,comlang_off,contig,wto_o,wto_d,gatt_o,gatt_d,wto_joint,EU_joint,EAEU_joint
2015,ARM,AZE,ARM,AZE,3243.987,10529182.72,53074370.56,2916.9500000000003,9649.341,380,0,1,1,0,0,0,0,0,0
2016,ARM,AZE,ARM,AZE,2445.5660000000003,10547331.072,37847715.84,2924.8160000000003,9762.274,380,0,1,1,0,0,0,0,0,0
2017,ARM,AZE,ARM,AZE,3940.416,11527458.566,40865558.912,2944.789,9854.033,380,0,1,1,0,0,0,0,0,0
2018,ARM,AZE,ARM,AZE,3569.703,12457941.907,47112941.176,2951.741,9939.771,380,0,1,1,0,0,0,0,0,0
2019,ARM,AZE,ARM,AZE,3037.922,13619291.361,48174235.294,2957.728,10024.283,380,0,1,1,0,0,0,0,0,0
2020,ARM,AZE,ARM,AZE,1570.694,12641209.802,42693000,2963.234,10093.121,381,0,1,1,0,0,0,0,0,0
1997,ARM,BLR,ARM,BLR,1054.243,1639492.48,14128412.672,3137.652,10117,1946,0,0,0,0,0,0,0,0,0
1998,ARM,BLR,ARM,BLR,1689.384,1893726.464,15222014.976,3112.958,10069,1946,0,0,0,0,0,0,0,0,0
1999,ARM,BLR,ARM,BLR,2158.192,1845482.24,12138485.76,3093.82,10035,1946,0,0,0,0,0,0,0,0,0
2000,ARM,BLR,ARM,BLR,1633.5,1911563.648,12736856.064,3076.098,10005,1949,0,0,0,0,0,0,0,0,0
2001,ARM,BLR,ARM,BLR,1692.4,2118467.968,12354820.096,3059.96,9928,1949,0,0,0,0,0,0,0,0,0
2002,ARM,BLR,ARM,BLR,2108.4,2376335.104,14594925.568,3047.002,9865,1949,0,0,0,0,0,0,0,0,0
2003,ARM,BLR,ARM,BLR,2282.8,2807060.992,17825435.648000002,3036.032,9797,1949,0,0,1,0,0,0,0,0,0
2004,ARM,BLR,ARM,BLR,2061.1,3576615.168,23141586.944,3025.652,9730,1949,0,0,1,0,0,0,0,0,0
2005,ARM,BLR,ARM,BLR,2496.711,4900436.992000001,30210091.008,3014.917,9663,1950,0,0,1,0,0,0,0,0,0
2006,ARM,BLR,ARM,BLR,4119.8,6384457.728,36961918.976,3002.911,9604,1950,0,0,1,0,0,0,0,0,0
2007,ARM,BLR,ARM,BLR,3472,9206301.696,45275713.536,2989.882,9560,1950,0,0,1,0,0,0,0,0,0
2008,ARM,BLR,ARM,BLR,4580.4000000000005,11662041.088,60763484.16,2977.4880000000003,9528,1950,0,0,1,0,0,0,0,0,0
2009,ARM,BLR,ARM,BLR,5094.8,8647937.024,49208655.872,2968.154,9507,1950,0,0,1,0,0,0,0,0,0
2010,ARM,BLR,ARM,BLR,5114.2,9260286.976,55220932.608,2963.496,9490,1951,0,0,1,0,0,0,0,0,0
2011,ARM,BLR,ARM,BLR,5768.726000000001,10142343.168,59734593.536,2964.12,9473,1951,0,0,1,0,0,0,0,0,0
2012,ARM,BLR,ARM,BLR,6681.1,9958217.728,63615447.04,2969.081,9464,1951,0,0,1,0,0,0,0,0,0
2013,ARM,BLR,ARM,BLR,8556.082,10432169.984,71709515.77600001,2976.5660000000003,9466,1951,0,0,1,0,0,0,0,0,0
2014,ARM,BLR,ARM,BLR,9023.982,11609512.96,78813052.928,2906.2200000000003,9474.511,1951,0,0,1,0,0,0,0,0,0
2015,ARM,BLR,ARM,BLR,5819.1,10529182.72,56454774.784,2916.9500000000003,9489.616,1951,0,0,1,0,0,0,0,0,1
2016,ARM,BLR,ARM,BLR,13112.17,10547331.072,47433441.28,2924.8160000000003,9507.12,1951,0,0,1,0,0,0,0,0,1
2017,ARM,BLR,ARM,BLR,7125.5,11527458.566,54726595.249,2944.789,9458.989,1951,0,0,1,0,0,0,0,0,1
2018,ARM,BLR,ARM,BLR,11738.39,12457941.907,60031262.269,2951.741,9438.785,1951,0,0,1,0,0,0,0,0,1
2019,ARM,BLR,ARM,BLR,18203.8,13619291.361,64409647.194,2957.728,9419.758,1951,0,0,1,0,0,0,0,0,1
2020,ARM,BLR,ARM,BLR,22782.5,12641209.802,61489588.895,2963.234,9379.952,1951,0,0,1,0,0,0,0,0,1
1995,ARM,EST,ARM,EST,6.393,1468317.312,4362191.36,3223.173,1436.634,2549,0,0,0,0,0,0,0,0,0
1996,ARM,EST,ARM,EST,121.36,1596968.96,4739181.568,3173.425,1415.594,2549,0,0,0,0,0,0,0,0,0
1997,ARM,EST,ARM,EST,65.994,1639492.48,5059146.752,3137.652,1399.535,2549,0,0,0,0,0,0,0,0,0
1998,ARM,EST,ARM,EST,4.831,1893726.464,5608007.1680000005,3112.958,1386.156,2549,0,0,0,0,0,0,0,0,0
1999,ARM,EST,ARM,EST,177.036,1845482.24,5715278.848,3093.82,1380.62,2549,0,0,0,1,0,0,0,0,0
2000,ARM,EST,ARM,EST,159.138,1911563.648,5685561.3440000005,3076.098,1396.985,2549,0,0,0,1,0,0,0,0,0
2001,ARM,EST,ARM,EST,62.623000000000005,2118467.968,6233506.3040000005,3059.96,1388.115,2549,0,0,0,1,0,0,0,0,0
2002,ARM,EST,ARM,EST,183.836,2376335.104,7308609.024,3047.002,1379.35,2549,0,0,0,1,0,0,0,0,0
2003,ARM,EST,ARM,EST,121.601,2807060.992,9822143.488,3036.032,1370.72,2549,0,0,1,1,0,0,1,0,0
2004,ARM,EST,ARM,EST,155.787,3576615.168,12057639.936,3025.652,1362.55,2549,0,0,1,1,0,0,1,0,0
2005,ARM,EST,ARM,EST,92.536,4900436.992000001,14003096.576,3014.917,1354.775,2549,0,0,1,1,0,0,1,0,0
2006,ARM,EST,ARM,EST,1026.3,6384457.728,16958045.184,3002.911,1346.81,2549,0,0,1,1,0,0,1,0,0
2007,ARM,EST,ARM,EST,464.971,9206301.696,22228670.464,2989.882,1340.68,2549,0,0,1,1,0,0,1,0,0
2008,ARM,EST,ARM,EST,1110.888,11662041.088,24185794.56,2977.4880000000003,1337.09,2549,0,0,1,1,0,0,1,0,0
2009,ARM,EST,ARM,EST,230.918,8647937.024,19640621.056,2968.154,1334.515,2549,0,0,1,1,0,0,1,0,0
2010,ARM,EST,ARM,EST,593.451,9260286.976,19479013.376,2963.496,1331.475,2549,0,0,1,1,0,0,1,0,0
2011,ARM,EST,ARM,EST,276.46500000000003,10142343.168,22803433.472,2964.12,1327.439,2549,0,0,1,1,0,0,1,0,0
2012,ARM,EST,ARM,EST,516.689,9958217.728,22660753.408,2969.081,1325.016,2549,0,0,1,1,0,0,1,0,0
2013,ARM,EST,ARM,EST,491.36,10432169.984,24880265.216,2976.5660000000003,1324.612,2549,0,0,1,1,0,0,1,0,0
2014,ARM,EST,ARM,EST,448.116,11609512.96,26213941.248,2906.2200000000003,1314.545,2549,0,0,1,1,0,0,1,0,0
2015,ARM,EST,ARM,EST,718.335,10529182.72,22460471.296,2916.9500000000003,1315.407,2549,0,0,1,1,0,0,1,0,0
2016,ARM,EST,ARM,EST,706.041,10547331.072,23136741.376,2924.8160000000003,1316.481,2549,0,0,1,1,0,0,1,0,0
2017,ARM,EST,ARM,EST,636.964,11527458.566,26924385.103,2944.789,1317.384,2549,0,0,1,1,0,0,1,0,0
2018,ARM,EST,ARM,EST,584.856,12457941.907,30489500.905,2951.741,1321.977,2549,0,0,1,1,0,0,1,0,0
2019,ARM,EST,ARM,EST,765.863,13619291.361,31045591.753,2957.728,1326.855,2549,0,0,1,1,0,0,1,0,0
2020,ARM,EST,ARM,EST,927.087,12641209.802,30650285.472,2963.234,1329.479,2549,0,0,1,1,0,0,1,0,0
1996,ARM,GEO,ARM,GEO,17210.649,1596968.96,3094915.5840000003,3173.425,4616.1,170,0,1,0,0,0,0,0,0,0
1997,ARM,GEO,ARM,GEO,21791.635,1639492.48,3510540.8000000003,3137.652,4531.6,170,0,1,0,0,0,0,0,0,0
1998,ARM,GEO,ARM,GEO,10051.884,1893726.464,3613500.16,3112.958,4487.3,170,0,1,0,0,0,0,0,0,0
1999,ARM,GEO,ARM,GEO,11834.551,1845482.24,2800024.32,3093.82,4452.5,170,0,1,0,0,0,0,0,0,0
2000,ARM,GEO,ARM,GEO,15839.176,1911563.648,3057453.568,3076.098,4418.3,170,0,1,0,1,0,0,0,0,0
2001,ARM,GEO,ARM,GEO,11894.25,2118467.968,3219487.744,3059.96,4386.4000000000005,170,0,1,0,1,0,0,0,0,0
2002,ARM,GEO,ARM,GEO,10262.922,2376335.104,3395778.56,3047.002,4357,170,0,1,0,1,0,0,0,0,0
2003,ARM,GEO,ARM,GEO,12176.679,2807060.992,3991374.592,3036.032,4328.9,170,0,1,1,1,0,0,1,0,0
2004,ARM,GEO,ARM,GEO,26042.415,3576615.168,5125274.112,3025.652,4318.3,170,0,1,1,1,0,0,1,0,0
2005,ARM,GEO,ARM,GEO,39359.556,4900436.992000001,6411147.264,3014.917,4361.4,170,0,1,1,1,0,0,1,0,0
2006,ARM,GEO,ARM,GEO,47497.868,6384457.728,7761900.032000001,3002.911,4398,170,0,1,1,1,0,0,1,0,0
2007,ARM,GEO,ARM,GEO,69094.557,9206301.696,10172260.352,2989.882,4388.4000000000005,170,0,1,1,1,0,0,1,0,0
2008,ARM,GEO,ARM,GEO,76982.58,11662041.088,12799337.472,2977.4880000000003,4383.8,170,0,1,1,1,0,0,1,0,0
2009,ARM,GEO,ARM,GEO,48444.112,8647937.024,10766836.736,2968.154,4410.9000000000005,170,0,1,1,1,0,0,1,0,0
2010,ARM,GEO,ARM,GEO,48211.992,9260286.976,11638537.216,2963.496,4452.8,170,0,1,1,1,0,0,1,0,0
2011,ARM,GEO,ARM,GEO,55031.136,10142343.168,14434620.416,2964.12,4483.35,170,0,1,1,1,0,0,1,0,0
2012,ARM,GEO,ARM,GEO,78045.601,9958217.728,15846474.752,2969.081,4490.7,170,0,1,1,1,0,0,1,0,0
2013,ARM,GEO,ARM,GEO,180963.928,10432169.984,16140047.36,2976.5660000000003,4476.9000000000005,170,0,1,1,1,0,0,1,0,0
2014,ARM,GEO,ARM,GEO,205062.994,11609512.96,16509305.856,2906.2200000000003,3727,170,0,1,1,1,0,0,1,0,0
2015,ARM,GEO,ARM,GEO,175051.645,10529182.72,13993546.752,2916.9500000000003,3717.1,170,0,1,1,1,0,0,1,0,0
2016,ARM,GEO,ARM,GEO,216831.574,10547331.072,14332879.872,2924.8160000000003,3719.3,170,0,1,1,1,0,0,1,0,0
2017,ARM,GEO,ARM,GEO,281335.089,11527458.566,16242916.916,2944.789,3728.004,170,0,1,1,1,0,0,1,0,0
2018,ARM,GEO,ARM,GEO,335374.654,12457941.907,17596922.47,2951.741,3726.549,170,0,1,1,1,0,0,1,0,0
2019,ARM,GEO,ARM,GEO,267678.05700000003,13619291.361,17470436.259,2957.728,3720.161,170,0,1,1,1,0,0,1,0,0
2020,ARM,GEO,ARM,GEO,422400.677,12641209.802,15842922.533,2963.234,3722.716,170,0,1,1,1,0,0,1,0,0
1995,ARM,KAZ,ARM,KAZ,2591.09,1468317.312,20374306.816,3223.173,15815.626,2455,0,0,0,0,0,0,0,0,0
1996,ARM,KAZ,ARM,KAZ,409.893,1596968.96,21035358.208,3173.425,15577.894,2455,0,0,0,0,0,0,0,0,0
1997,ARM,KAZ,ARM,KAZ,1824.592,1639492.48,22165932.032,3137.652,15333.703,2455,0,0,0,0,0,0,0,0,0
1998,ARM,KAZ,ARM,KAZ,494.494,1893726.464,22135244.8,3112.958,15071.3,2455,0,0,0,0,0,0,0,0,0
1999,ARM,KAZ,ARM,KAZ,516.318,1845482.24,16870816.768,3093.82,14928.426,2455,0,0,0,0,0,0,0,0,0
2000,ARM,KAZ,ARM,KAZ,1261.481,1911563.648,18291990.528,3076.098,14883.626,2444,0,0,0,0,0,0,0,0,0
2001,ARM,KAZ,ARM,KAZ,1115.465,2118467.968,22152689.664,3059.96,14858.335,2444,0,0,0,0,0,0,0,0,0
2002,ARM,KAZ,ARM,KAZ,786.1220000000001,2376335.104,24636598.272,3047.002,14858.948,2444,0,0,0,0,0,0,0,0,0
2003,ARM,KAZ,ARM,KAZ,1017.994,2807060.992,30833692.672,3036.032,14909.018,2444,0,0,1,0,0,0,0,0,0
2004,ARM,KAZ,ARM,KAZ,1744.536,3576615.168,43151646.72,3025.652,15012.985,2444,0,0,1,0,0,0,0,0,0
2005,ARM,KAZ,ARM,KAZ,2507.802,4900436.992000001,57123672.064,3014.917,15147.029,2425,0,0,1,0,0,0,0,0,0
2006,ARM,KAZ,ARM,KAZ,3918.206,6384457.728,81003864.064,3002.911,15308.084,2425,0,0,1,0,0,0,0,0,0
2007,ARM,KAZ,ARM,KAZ,7022.615,9206301.696,104849883.136,2989.882,15484.192,2425,0,0,1,0,0,0,0,0,0
2008,ARM,KAZ,ARM,KAZ,4057.812,11662041.088,133441609.728,2977.4880000000003,15674,2425,0,0,1,0,0,0,0,0,0
2009,ARM,KAZ,ARM,KAZ,2414.847,8647937.024,115308658.688,2968.154,16092.701,2425,0,0,1,0,0,0,0,0,0
2010,ARM,KAZ,ARM,KAZ,3212.189,9260286.976,148047347.712,2963.496,16321.581,2414,0,0,1,0,0,0,0,0,0
2011,ARM,KAZ,ARM,KAZ,4396.969,10142343.168,188048965.632,2964.12,16556.601,2414,0,0,1,0,0,0,0,0,0
2012,ARM,KAZ,ARM,KAZ,3957.81,9958217.728,203517198.336,2969.081,16791.426,2414,0,0,1,0,0,0,0,0,0
2013,ARM,KAZ,ARM,KAZ,7262.659000000001,10432169.984,231876280.32,2976.5660000000003,17037.508,2414,0,0,1,0,0,0,0,0,0
2014,ARM,KAZ,ARM,KAZ,7806.756,11609512.96,221415571.456,2906.2200000000003,17289.225,2414,0,0,1,0,0,0,0,0,0
2015,ARM,KAZ,ARM,KAZ,4857.682,10529182.72,184388435.968,2916.9500000000003,17544.127,2404,0,0,1,1,0,0,1,0,1
2016,ARM,KAZ,ARM,KAZ,5267.416,10547331.072,133657083.904,2924.8160000000003,17797.031,2404,0,0,1,1,0,0,1,0,1
2017,ARM,KAZ,ARM,KAZ,5033.287,11527458.566,166805800.59600002,2944.789,18037.777,2404,0,0,1,1,0,0,1,0,1
2018,ARM,KAZ,ARM,KAZ,9777.788,12457941.907,179339994.859,2951.741,18276.451,2404,0,0,1,1,0,0,1,0,1
2019,ARM,KAZ,ARM,KAZ,7025.798,13619291.361,181667190.076,2957.728,18513.674,2404,0,0,1,1,0,0,1,0,1
2020,ARM,KAZ,ARM,KAZ,7701.933,12641209.802,171082379.533,2963.234,18755.667,2396,0,0,1,1,0,0,1,0,1
1995,ARM,KGZ,ARM,KGZ,601.099,1468317.312,1661018.496,3223.173,4560.4000000000005,2514,0,0,0,0,0,0,0,0,0
1997,ARM,KGZ,ARM,KGZ,33.901,1639492.48,1767864.064,3137.652,4696.4000000000005,2514,0,0,0,0,0,0,0,0,0
1998,ARM,KGZ,ARM,KGZ,364.589,1893726.464,1645963.776,3112.958,4769,2514,0,0,0,1,0,0,0,0,0
1999,ARM,KGZ,ARM,KGZ,43.848,1845482.24,1249062.016,3093.82,4840.4000000000005,2514,0,0,0,1,0,0,0,0,0
2000,ARM,KGZ,ARM,KGZ,15.278,1911563.648,1369691.904,3076.098,4898.4000000000005,2514,0,0,0,1,0,0,0,0,0
2001,ARM,KGZ,ARM,KGZ,129.338,2118467.968,1525113.472,3059.96,4945.1,2514,0,0,0,1,0,0,0,0,0
2002,ARM,KGZ,ARM,KGZ,447.495,2376335.104,1605640.576,3047.002,4990.7,2514,0,0,0,1,0,0,0,0,0
2003,ARM,KGZ,ARM,KGZ,112.492,2807060.992,1919012.736,3036.032,5043.3,2514,0,0,1,1,0,0,1,0,0
2004,ARM,KGZ,ARM,KGZ,17.946,3576615.168,2211535.36,3025.652,5104.7,2514,0,0,1,1,0,0,1,0,0
2005,ARM,KGZ,ARM,KGZ,39.919,4900436.992000001,2459876.096,3014.917,5162.6,2514,0,0,1,1,0,0,1,0,0
2006,ARM,KGZ,ARM,KGZ,140.58,6384457.728,2834168.832,3002.911,5218.4000000000005,2514,0,0,1,1,0,0,1,0,0
2007,ARM,KGZ,ARM,KGZ,152.788,9206301.696,3802566.144,2989.882,5268.4000000000005,2514,0,0,1,1,0,0,1,0,0
2008,ARM,KGZ,ARM,KGZ,217.37,11662041.088,5139957.76,2977.4880000000003,5318.7,2514,0,0,1,1,0,0,1,0,0
2009,ARM,KGZ,ARM,KGZ,191.985,8647937.024,4690062.336,2968.154,5383.3,2514,0,0,1,1,0,0,1,0,0
2010,ARM,KGZ,ARM,KGZ,2379.919,9260286.976,4794357.76,2963.496,5447.9000000000005,2514,0,0,1,1,0,0,1,0,0
2011,ARM,KGZ,ARM,KGZ,401.555,10142343.168,6197766.144,2964.12,5514.6,2514,0,0,1,1,0,0,1,0,0
2012,ARM,KGZ,ARM,KGZ,272.647,9958217.728,6605139.968,2969.081,5607.2,2514,0,0,1,1,0,0,1,0,0
2013,ARM,KGZ,ARM,KGZ,979.213,10432169.984,7226303.488,2976.5660000000003,5719.5,2514,0,0,1,1,0,0,1,0,0
2014,ARM,KGZ,ARM,KGZ,313.991,11609512.96,7468096.512,2906.2200000000003,5835.5,2514,0,0,1,1,0,0,1,0,0
2015,ARM,KGZ,ARM,KGZ,349.786,10529182.72,6678178.3040000005,2916.9500000000003,5956.9000000000005,2514,0,0,1,1,0,0,1,0,1
2016,ARM,KGZ,ARM,KGZ,1132.145,10547331.072,6551287.808,2924.8160000000003,6082.7,2514,0,0,1,1,0,0,1,0,1
2017,ARM,KGZ,ARM,KGZ,1806.175,11527458.566,7702934.8,2944.789,6198.2,2514,0,0,1,1,0,0,1,0,1
2018,ARM,KGZ,ARM,KGZ,970.527,12457941.907,8271108.638,2951.741,6322.8,2514,0,0,1,1,0,0,1,0,1
2019,ARM,KGZ,ARM,KGZ,3152.1330000000003,13619291.361,8871026.074000001,2957.728,6456.2,2514,0,0,1,1,0,0,1,0,1
2020,ARM,KGZ,ARM,KGZ,2081.836,12641209.802,7780874.537,2963.234,6579.9000000000005,2514,0,0,1,1,0,0,1,0,1
1992,ARM,LTU,ARM,LTU,1985.999,1272577.536,8562311.168,3449.4970000000003,3700.114,2155,0,0,0,0,0,0,0,0,0
1994,ARM,LTU,ARM,LTU,34.95,1315158.656,6958637.056,3289.943,3657.144,2155,0,0,0,0,0,0,0,0,0
1995,ARM,LTU,ARM,LTU,70.09700000000001,1468317.312,7904896,3223.173,3629.102,2155,0,0,0,0,0,0,0,0,0
1996,ARM,LTU,ARM,LTU,15.197,1596968.96,8426599.936,3173.425,3601.6130000000003,2155,0,0,0,0,0,0,0,0,0
1997,ARM,LTU,ARM,LTU,305.884,1639492.48,10128700.416,3137.652,3575.137,2155,0,0,0,0,0,0,0,0,0
1998,ARM,LTU,ARM,LTU,172.589,1893726.464,11254049.792,3112.958,3549.331,2155,0,0,0,0,0,0,0,0,0
1999,ARM,LTU,ARM,LTU,83.474,1845482.24,10971374.592,3093.82,3524.2380000000003,2155,0,0,0,0,0,0,0,0,0
2000,ARM,LTU,ARM,LTU,1882.576,1911563.648,11434200.064,3076.098,3499.536,2155,0,0,0,0,0,0,0,0,0
2001,ARM,LTU,ARM,LTU,2259.959,2118467.968,12159224.832,3059.96,3470.818,2155,0,0,0,1,0,0,0,0,0
2002,ARM,LTU,ARM,LTU,613.467,2376335.104,14163949.568,3047.002,3443.067,2155,0,0,0,1,0,0,0,0,0
2003,ARM,LTU,ARM,LTU,135.288,2807060.992,18608709.632,3036.032,3415.213,2155,0,0,1,1,0,0,1,0,0
2004,ARM,LTU,ARM,LTU,127.234,3576615.168,22659295.232,3025.652,3377.0750000000003,2155,0,0,1,1,0,0,1,0,0
2005,ARM,LTU,ARM,LTU,187.812,4900436.992000001,26085306.368,3014.917,3322.528,2155,0,0,1,1,0,0,1,0,0
2006,ARM,LTU,ARM,LTU,44.974,6384457.728,30246361.088,3002.911,3269.909,2155,0,0,1,1,0,0,1,0,0
2007,ARM,LTU,ARM,LTU,182.358,9206301.696,39325986.816,2989.882,3231.294,2155,0,0,1,1,0,0,1,0,0
2008,ARM,LTU,ARM,LTU,412.077,11662041.088,47438364.672,2977.4880000000003,3198.231,2155,0,0,1,1,0,0,1,0,0
2009,ARM,LTU,ARM,LTU,403.548,8647937.024,37050081.28,2968.154,3162.916,2155,0,0,1,1,0,0,1,0,0
2010,ARM,LTU,ARM,LTU,722.607,9260286.976,36709511.168,2963.496,3097.282,2155,0,0,1,1,0,0,1,0,0
2011,ARM,LTU,ARM,LTU,958.663,10142343.168,43083067.392,2964.12,3028.115,2155,0,0,1,1,0,0,1,0,0
2012,ARM,LTU,ARM,LTU,1921.783,9958217.728,42343559.168,2969.081,2987.773,2155,0,0,1,1,0,0,1,0,0
2013,ARM,LTU,ARM,LTU,1521.453,10432169.984,45931966.464,2976.5660000000003,2956.121,2155,0,0,1,1,0,0,1,0,0
2014,ARM,LTU,ARM,LTU,2762.718,11609512.96,48545251.328,2906.2200000000003,2932.367,2155,0,0,1,1,0,0,1,0,0
2015,ARM,LTU,ARM,LTU,2243.775,10529182.72,41402023.936,2916.9500000000003,2904.91,2155,0,0,1,1,0,0,1,0,0
2016,ARM,LTU,ARM,LTU,2511.755,10547331.072,42738876.416,2924.8160000000003,2872.298,2155,0,0,1,1,0,0,1,0,0
2017,ARM,LTU,ARM,LTU,1969.396,11527458.566,47758736.932,2944.789,2828.403,2155,0,0,1,1,0,0,1,0,0
2018,ARM,LTU,ARM,LTU,3452.034,12457941.907,53750911.866,2951.741,2801.543,2155,0,0,1,1,0,0,1,0,0
2019,ARM,LTU,ARM,LTU,11181.825,13619291.361,54697379.017000005,2957.728,2794.137,2155,0,0,1,1,0,0,1,0,0
2020,ARM,LTU,ARM,LTU,9766.17,12641209.802,56546957.475,2963.234,2794.885,2155,0,0,1,1,0,0,1,0,0
1994,ARM,LVA,ARM,LVA,12.126,1315158.656,5060854.784,3289.943,2520.742,2377,0,0,0,0,0,0,0,0,0
1995,ARM,LVA,ARM,LVA,11.193,1468317.312,5235719.68,3223.173,2485.056,2377,0,0,0,0,0,0,0,0,0
1996,ARM,LVA,ARM,LVA,158.436,1596968.96,5585292.8,3173.425,2457.222,2377,0,0,0,0,0,0,0,0,0
1997,ARM,LVA,ARM,LVA,212.001,1639492.48,6133234.176,3137.652,2432.851,2377,0,0,0,0,0,0,0,0,0
1998,ARM,LVA,ARM,LVA,588.149,1893726.464,6616957.44,3112.958,2410.019,2377,0,0,0,0,0,0,0,0,0
1999,ARM,LVA,ARM,LVA,311.26800000000003,1845482.24,7288524.288,3093.82,2390.482,2377,0,0,0,1,0,0,0,0,0
2000,ARM,LVA,ARM,LVA,338.009,1911563.648,7833068.544,3076.098,2367.55,2377,0,0,0,1,0,0,0,0,0
2001,ARM,LVA,ARM,LVA,366.404,2118467.968,8313047.552,3059.96,2337.17,2377,0,0,0,1,0,0,0,0,0
2002,ARM,LVA,ARM,LVA,655.825,2376335.104,9314784.256,3047.002,2310.173,2377,0,0,0,1,0,0,0,0,0
2003,ARM,LVA,ARM,LVA,686.498,2807060.992,11186452.48,3036.032,2287.955,2377,0,0,1,1,0,0,1,0,0
2004,ARM,LVA,ARM,LVA,949.733,3576615.168,13761569.792,3025.652,2263.122,2377,0,0,1,1,0,0,1,0,0
2005,ARM,LVA,ARM,LVA,1827.463,4900436.992000001,16041840.64,3014.917,2238.799,2377,0,0,1,1,0,0,1,0,0
2006,ARM,LVA,ARM,LVA,1361.311,6384457.728,19935045.632,3002.911,2218.357,2377,0,0,1,1,0,0,1,0,0
2007,ARM,LVA,ARM,LVA,1271.887,9206301.696,28765687.808,2989.882,2200.3250000000003,2377,0,0,1,1,0,0,1,0,0
2008,ARM,LVA,ARM,LVA,1145.823,11662041.088,33669367.808,2977.4880000000003,2177.322,2377,0,0,1,1,0,0,1,0,0
2009,ARM,LVA,ARM,LVA,887.399,8647937.024,25875781.632,2968.154,2141.669,2377,0,0,1,1,0,0,1,0,0
2010,ARM,LVA,ARM,LVA,1494.399,9260286.976,24009680.896,2963.496,2097.555,2377,0,0,1,1,0,0,1,0,0
2011,ARM,LVA,ARM,LVA,1099.618,10142343.168,28480337.92,2964.12,2059.709,2377,0,0,1,1,0,0,1,0,0
2012,ARM,LVA,ARM,LVA,2190.997,9958217.728,28372578.304,2969.081,2034.319,2377,0,0,1,1,0,0,1,0,0
2013,ARM,LVA,ARM,LVA,2638.149,10432169.984,30956691.456,2976.5660000000003,2013.385,2377,0,0,1,1,0,0,1,0,0
2014,ARM,LVA,ARM,LVA,3768.568,11609512.96,31352250.368,2906.2200000000003,1993.782,2377,0,0,1,1,0,0,1,0,0
2015,ARM,LVA,ARM,LVA,1930.087,10529182.72,27026036.736,2916.9500000000003,1977.527,2377,0,0,1,1,0,0,1,0,0
2016,ARM,LVA,ARM,LVA,1740.76,10547331.072,27677390.848,2924.8160000000003,1960.424,2377,0,0,1,1,0,0,1,0,0
2017,ARM,LVA,ARM,LVA,2902.611,11527458.566,30483806.018,2944.789,1942.248,2377,0,0,1,1,0,0,1,0,0
2018,ARM,LVA,ARM,LVA,3385.177,12457941.907,34429023.435,2951.741,1927.174,2377,0,0,1,1,0,0,1,0,0
2019,ARM,LVA,ARM,LVA,4391.954,13619291.361,34308783.825,2957.728,1913.822,2377,0,0,1,1,0,0,1,0,0
2020,ARM,LVA,ARM,LVA,3688.083,12641209.802,33645460.617,2963.234,1900.449,2377,0,0,1,1,0,0,1,0,0
1994,ARM,MDA,ARM,MDA,63.793,1315158.656,1702314.368,3289.943,3694,1470,0,0,0,0,0,0,0,0,0
1995,ARM,MDA,ARM,MDA,46.652,1468317.312,1752995.328,3223.173,3675.099,1470,0,0,0,0,0,0,0,0,0
1996,ARM,MDA,ARM,MDA,69.348,1596968.96,1695130.496,3173.425,3667.748,1470,0,0,0,0,0,0,0,0,0
1997,ARM,MDA,ARM,MDA,137.954,1639492.48,1930071.424,3137.652,3654.208,1470,0,0,0,0,0,0,0,0,0
1998,ARM,MDA,ARM,MDA,21.407,1893726.464,1639497.216,3112.958,3652.732,1470,0,0,0,0,0,0,0,0,0
1999,ARM,MDA,ARM,MDA,206.95,1845482.24,1170785.024,3093.82,3647.001,1470,0,0,0,0,0,0,0,0,0
2000,ARM,MDA,ARM,MDA,142.411,1911563.648,1288420.224,3076.098,3639.592,1470,0,0,0,0,0,0,0,0,0
2001,ARM,MDA,ARM,MDA,182.237,2118467.968,1480656.896,3059.96,3631.462,1470,0,0,0,1,0,0,0,0,0
2002,ARM,MDA,ARM,MDA,144.764,2376335.104,1661818.112,3047.002,3623.062,1470,0,0,0,1,0,0,0,0,0
2003,ARM,MDA,ARM,MDA,283.922,2807060.992,1980901.504,3036.032,3612.874,1470,0,0,1,1,0,0,1,0,0
2004,ARM,MDA,ARM,MDA,216.25,3576615.168,2598231.552,3025.652,3603.945,1470,0,0,1,1,0,0,1,0,0
2005,ARM,MDA,ARM,MDA,737.001,4900436.992000001,2988172.544,3014.917,3595.187,1470,0,0,1,1,0,0,1,0,0
2006,ARM,MDA,ARM,MDA,836.644,6384457.728,3408454.144,3002.911,3585.2090000000003,1470,0,0,1,1,0,0,1,0,0
2007,ARM,MDA,ARM,MDA,2465.196,9206301.696,4402496,2989.882,3576.91,1470,0,0,1,1,0,0,1,0,0
2008,ARM,MDA,ARM,MDA,1640.61,11662041.088,6054806.016,2977.4880000000003,3570.108,1470,0,0,1,1,0,0,1,0,0
2009,ARM,MDA,ARM,MDA,1302.225,8647937.024,5439421.9520000005,2968.154,3565.6040000000003,1470,0,0,1,1,0,0,1,0,0
2010,ARM,MDA,ARM,MDA,965.742,9260286.976,5811603.968,2963.496,3562.045,1470,0,0,1,1,0,0,1,0,0
